"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Pakistan","PAK","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1230000","980000","900000","758000","747000","1900000","1459000","464000","249000","119000","106000","104000","104000","",
"Pakistan","PAK","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.208809837698936","","0.214446097612381","","0.207885876297951","","0.167101562023163","0.157153591513634","0.150907725095749","0.149609610438347","0.115202136337757","0.116779685020447","0.113508991897106","0.115316621959209","0.113881908357143","0.112237073481083","0.112144351005554","0.110641151666641","0.127795800566673","0.129926815629005","0.125565901398659","0.126058980822563","0.128894627094269","0.123449698090553","0.127924367785454","0.130795285105705","",
"Pakistan","PAK","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","6","","6","","8","10","11","12","15","15","15","15","15","16","16","15","12","12","12","12","12","11","10","10","",
"Pakistan","PAK","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.92473501305901","1.76706144452903","1.72802357611431","1.8145009580316","1.72525690063153","1.92488889432761","1.44811284723987","1.60383333993798","1.95739155772638","2.1763687688896","2.16975283666106","2.30269329696388","1.88781249603383","1.48848329298399","",
"Pakistan","PAK","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","29.00333738","31.92988947","26.54698755","34.07731255","28.33630371","30.34737368","37.47860829","46.20952744","50.08988672","52.16209959","61.9042028","72.30890903","81.04514495","74.08138874","81.58357914","88.51953305","103.2445617","96.5543978","94.08154381","93.3040763","100","102.3257566","109.8024707","132.1440004","148.1940135","177.7907251","187.5281761","197.5790953","225.1111261","194.096608","237.1447592","281.1532527","272.1227112","278.2535171","273.9386112","244.6728688","225.6860024","238.911479","259.4696739","258.406319","243.2535116","","",
"Pakistan","PAK","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","5.15569167942828","6.19446560040619","6.59498207885305","6.33297062023939","6.48394354673757","6.54955126981096","5.83892617449664","6.07938368782448","3.10965630114566","3.54352927198741","3.4557563698668","2.11108772140859","1.48416449489818","1.9901229379006","4.40574046020491","5.64820716752447","3.11229061832219","5.16126283498786","6.87857315403817","7.68321513002364","5.45235204739981","7.10368106459816","4.87918621935935","4.25127811528405","4.84654496566656","4.05744918602698","4.00320421869088","3.74807486554045","2.64739994633349","1.99907121540391","1.41129426994212","2.52729667645718","2.23775821127689","1.65968877376039","1.80579141592817","1.93933171604549","1.99320125859976","3.6811210905212","3.53364586185257","2.72303774138425","2.83802825282705","3.12273734165265","3.5384288611875","3.65416022183392","5.41554382062908","4.89846830823842","4.6436908279902","4.19431994306219","4.59041872260586","5.65826017801635","4.98625631067959","5.0670813272588","4.95967033900859","6.14829149105477","6.17085410118174","5.94199745922758","5.39501657716662","5.9531302157086","5.28065882979956","5.07139146431769","5.41798161847808","","",
"Pakistan","PAK","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","0.0765696784073507","","0.0955794504181601","0.0870511425462459","0.16363264471262","0.53465724651518","2.24832214765101","1.18908055602077","1.20021822149482","1.69602281165533","1.83220029845797","1.39385920067362","1.14993300646377","0.105075128717033","0.0896386665351966","0.556543909887454","0.766871165644172","1.48608921647991","2.20159969938535","0.772456196674741","1.22011743057623","1.10248075515422","0.766562709493136","0.786707601045908","1.307679981866","2.04387931727054","0.786866250472947","0.975401459503807","0.579021717195237","0.757308896249199","2.52178995214849","1.55201892857925","1.17547846969724","2.46303369746615","1.10512925453042","2.69217079935334","2.15006878646326","2.22354841126544","1.56541082459238","0.847497452571889","1.53492148294783","1.31740602205229","1.46573097982273","2.07789104285903","2.17699232745845","2.54159258232659","2.71221650574578","3.35965431832998","3.39204466272607","3.1330675081054","4.13943452946542","4.27699095399819","2.98291925319531","3.15152157933503","2.96539098703288","2.40603044456943","2.62944949412132","2.99831788358124","2.92511952382727","2.8708227360147","3.16082561589741","","",
"Pakistan","PAK","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","400000000","424000000","407000000","407000000","469000000","550000000","634000000","680000000","292000000","332000000","449000000","492000000","1169000000","1060000000","1193000000","1053000000","1186000000","1213000000","1634000000","2462000000","2618000000","2883000000","2397000000","3077000000","2558000000","2740000000","3384000000","4172000000","4522000000","4709000000","5589000000","6528000000","7317000000","6688000000","7365000000","7992000000","9321000000","8717000000","8494000000","8424000000","9028000000","9238000000","9913000000","11930000000","13379000000","16051000000","16930000000","17838000000","20323000000","17523000000","21410000000","25383000000","24567000000","25121000000","24731000000","22089000000","20375000000","21569000000","23425000000","23329000000","21979000000","28319000000","30936000000",
"Pakistan","PAK","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","0.981228668941979","0.426026336173511","0.863999999999999","1.25692373242437","2.04594400574299","2.20057720057719","1.27151180590857","0.664477014845262","0.595908181299447","1.0087957877063","0.573558017605585","1.14567200987871","0.601708464977433","0.607899186127231","1.38402494072628","0.843181936813621","0.423766944621129","1.49417112298788","1.42000267921239","0.987399276541262","2.55401120489604","2.80079876552844","1.4308426073132","1.31040131040131","1.20578778135048","2.29976209357653","2.41046831955923","2.34968901174845","3.43820840204894","3.89354361754559","3.7940379403794","4.71395881006865","5.08541914978149","5.78905630452022","3.20709655407711","4.51258316459358","2.99531981279251","4.29132668479903","5.48986486486486","4.68343451864701","4.74742221755618","4.4449975997013","3.96175416250434","4.38130214877098","3.60130190461306","2.9998829313978","",
"Pakistan","PAK","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","60.9464114567603","61.6498538556449","56.7737418268333","52.820849011542","41.0804492760015","42.835732744607","41.5203871253454","32.9999000261574","30.2223807536089","29.4451968186128","27.1808507331323","10.37993037079","11.7296155704806","18.7518431099864","7.80026911674865","6.06896887126082","12.3260846235206","6.678510866099","20.4724295332053","13.5832520381571","13.9358249902781","12.4934042780794","7.13261725064513","18.0062399875201","16.4893528858904","13.1956040946228","","","10.2119078352637","8.71571849396804","9.65019471303295","4.42169405782444","","3.85436260778199","6.1005744319596","2.72685406612184","1.91155879989469","1.42454690413746","2.95094176924683","1.71051982781074","1.47106067375518","1.58511722990572","1.62068094204353","1.49482387776306","1.23761059785627","1.22334149052363","1.40698077608123","1.85078538425968","1.9462189711228","2.58117389731358","3.2349342917038","2.30259906544054","1.98166083599108","1.38178945724839","1.02075866850769","1.09517782673276","0.953789253837377","1.02071327846449","1.85001190232764","1.86180931889475","",
